statement_id,run,statement,true_verdict,prediction,raw_response,correct
0,1,"John McCain opposed bankruptcy protections for families ""who were only in bankruptcy because of medical expenses they couldn't pay.""",true,mostly-true,mostly-true,False
0,2,"John McCain opposed bankruptcy protections for families ""who were only in bankruptcy because of medical expenses they couldn't pay.""",true,mostly-true,mostly-true,False
0,3,"John McCain opposed bankruptcy protections for families ""who were only in bankruptcy because of medical expenses they couldn't pay.""",true,mostly-true,mostly-true,False
0,4,"John McCain opposed bankruptcy protections for families ""who were only in bankruptcy because of medical expenses they couldn't pay.""",true,mostly-true,mostly-true,False
0,5,"John McCain opposed bankruptcy protections for families ""who were only in bankruptcy because of medical expenses they couldn't pay.""",true,mostly-true,mostly-true,False
0,6,"John McCain opposed bankruptcy protections for families ""who were only in bankruptcy because of medical expenses they couldn't pay.""",true,mostly-true,mostly-true,False
0,7,"John McCain opposed bankruptcy protections for families ""who were only in bankruptcy because of medical expenses they couldn't pay.""",true,mostly-true,mostly-true,False
0,8,"John McCain opposed bankruptcy protections for families ""who were only in bankruptcy because of medical expenses they couldn't pay.""",true,mostly-true,mostly-true,False
0,9,"John McCain opposed bankruptcy protections for families ""who were only in bankruptcy because of medical expenses they couldn't pay.""",true,mostly-true,mostly-true,False
0,10,"John McCain opposed bankruptcy protections for families ""who were only in bankruptcy because of medical expenses they couldn't pay.""",true,mostly-true,mostly-true,False
0,11,"John McCain opposed bankruptcy protections for families ""who were only in bankruptcy because of medical expenses they couldn't pay.""",true,mostly-true,mostly-true,False
0,12,"John McCain opposed bankruptcy protections for families ""who were only in bankruptcy because of medical expenses they couldn't pay.""",true,mostly-true,mostly-true,False
0,13,"John McCain opposed bankruptcy protections for families ""who were only in bankruptcy because of medical expenses they couldn't pay.""",true,mostly-true,mostly-true,False
0,14,"John McCain opposed bankruptcy protections for families ""who were only in bankruptcy because of medical expenses they couldn't pay.""",true,mostly-true,mostly-true,False
0,15,"John McCain opposed bankruptcy protections for families ""who were only in bankruptcy because of medical expenses they couldn't pay.""",true,mostly-true,mostly-true,False
1,1,"""Bennie Thompson actively cheer-led riots in the ’90s.""",false,mostly-false,mostly-false,False
1,2,"""Bennie Thompson actively cheer-led riots in the ’90s.""",false,mostly-false,mostly-false,False
1,3,"""Bennie Thompson actively cheer-led riots in the ’90s.""",false,mostly-false,mostly-false,False
1,4,"""Bennie Thompson actively cheer-led riots in the ’90s.""",false,mostly-false,mostly-false,False
1,5,"""Bennie Thompson actively cheer-led riots in the ’90s.""",false,mostly-false,mostly-false,False
1,6,"""Bennie Thompson actively cheer-led riots in the ’90s.""",false,mostly-false,mostly-false,False
1,7,"""Bennie Thompson actively cheer-led riots in the ’90s.""",false,mostly-false,mostly-false,False
1,8,"""Bennie Thompson actively cheer-led riots in the ’90s.""",false,mostly-false,mostly-false,False
1,9,"""Bennie Thompson actively cheer-led riots in the ’90s.""",false,mostly-false,mostly-false,False
1,10,"""Bennie Thompson actively cheer-led riots in the ’90s.""",false,mostly-false,mostly-false,False
1,11,"""Bennie Thompson actively cheer-led riots in the ’90s.""",false,mostly-false,mostly-false,False
1,12,"""Bennie Thompson actively cheer-led riots in the ’90s.""",false,mostly-false,mostly-false,False
1,13,"""Bennie Thompson actively cheer-led riots in the ’90s.""",false,mostly-false,mostly-false,False
1,14,"""Bennie Thompson actively cheer-led riots in the ’90s.""",false,mostly-false,mostly-false,False
1,15,"""Bennie Thompson actively cheer-led riots in the ’90s.""",false,mostly-false,mostly-false,False
2,1,"Says Maggie Hassan was ""out of state on 30 days over the last three months.""",mostly-true,mostly-false,mostly-false,False
2,2,"Says Maggie Hassan was ""out of state on 30 days over the last three months.""",mostly-true,mostly-false,mostly-false,False
2,3,"Says Maggie Hassan was ""out of state on 30 days over the last three months.""",mostly-true,mostly-false,mostly-false,False
2,4,"Says Maggie Hassan was ""out of state on 30 days over the last three months.""",mostly-true,mostly-false,mostly-false,False
2,5,"Says Maggie Hassan was ""out of state on 30 days over the last three months.""",mostly-true,mostly-false,mostly-false,False
2,6,"Says Maggie Hassan was ""out of state on 30 days over the last three months.""",mostly-true,mostly-false,mostly-false,False
2,7,"Says Maggie Hassan was ""out of state on 30 days over the last three months.""",mostly-true,mostly-false,mostly-false,False
2,8,"Says Maggie Hassan was ""out of state on 30 days over the last three months.""",mostly-true,mostly-false,mostly-false,False
2,9,"Says Maggie Hassan was ""out of state on 30 days over the last three months.""",mostly-true,mostly-false,mostly-false,False
2,10,"Says Maggie Hassan was ""out of state on 30 days over the last three months.""",mostly-true,mostly-false,mostly-false,False
2,11,"Says Maggie Hassan was ""out of state on 30 days over the last three months.""",mostly-true,mostly-false,mostly-false,False
2,12,"Says Maggie Hassan was ""out of state on 30 days over the last three months.""",mostly-true,mostly-false,mostly-false,False
2,13,"Says Maggie Hassan was ""out of state on 30 days over the last three months.""",mostly-true,mostly-false,mostly-false,False
2,14,"Says Maggie Hassan was ""out of state on 30 days over the last three months.""",mostly-true,mostly-false,mostly-false,False
2,15,"Says Maggie Hassan was ""out of state on 30 days over the last three months.""",mostly-true,mostly-false,mostly-false,False
3,1,"""BUSTED: CDC Inflated COVID Numbers, Accused of Violating Federal Law""",false,mostly-false,mostly-false,False
3,2,"""BUSTED: CDC Inflated COVID Numbers, Accused of Violating Federal Law""",false,mostly-false,mostly-false,False
3,3,"""BUSTED: CDC Inflated COVID Numbers, Accused of Violating Federal Law""",false,mostly-false,mostly-false,False
3,4,"""BUSTED: CDC Inflated COVID Numbers, Accused of Violating Federal Law""",false,mostly-false,mostly-false,False
3,5,"""BUSTED: CDC Inflated COVID Numbers, Accused of Violating Federal Law""",false,mostly-false,mostly-false,False
3,6,"""BUSTED: CDC Inflated COVID Numbers, Accused of Violating Federal Law""",false,mostly-false,mostly-false,False
3,7,"""BUSTED: CDC Inflated COVID Numbers, Accused of Violating Federal Law""",false,mostly-false,mostly-false,False
3,8,"""BUSTED: CDC Inflated COVID Numbers, Accused of Violating Federal Law""",false,mostly-false,mostly-false,False
3,9,"""BUSTED: CDC Inflated COVID Numbers, Accused of Violating Federal Law""",false,mostly-false,mostly-false,False
3,10,"""BUSTED: CDC Inflated COVID Numbers, Accused of Violating Federal Law""",false,mostly-false,mostly-false,False
3,11,"""BUSTED: CDC Inflated COVID Numbers, Accused of Violating Federal Law""",false,mostly-false,mostly-false,False
3,12,"""BUSTED: CDC Inflated COVID Numbers, Accused of Violating Federal Law""",false,mostly-false,mostly-false,False
3,13,"""BUSTED: CDC Inflated COVID Numbers, Accused of Violating Federal Law""",false,mostly-false,mostly-false,False
3,14,"""BUSTED: CDC Inflated COVID Numbers, Accused of Violating Federal Law""",false,mostly-false,mostly-false,False
3,15,"""BUSTED: CDC Inflated COVID Numbers, Accused of Violating Federal Law""",false,mostly-false,mostly-false,False
4,1,"""I'm the only (Republican) candidate that has actually reduced the size of government.""",half-true,mostly-false,mostly-false,False
4,2,"""I'm the only (Republican) candidate that has actually reduced the size of government.""",half-true,half-true,half-true,True
4,3,"""I'm the only (Republican) candidate that has actually reduced the size of government.""",half-true,mostly-false,mostly-false,False
4,4,"""I'm the only (Republican) candidate that has actually reduced the size of government.""",half-true,mostly-false,mostly-false,False
4,5,"""I'm the only (Republican) candidate that has actually reduced the size of government.""",half-true,mostly-false,mostly-false,False
4,6,"""I'm the only (Republican) candidate that has actually reduced the size of government.""",half-true,half-true,half-true,True
4,7,"""I'm the only (Republican) candidate that has actually reduced the size of government.""",half-true,mostly-false,mostly-false,False
4,8,"""I'm the only (Republican) candidate that has actually reduced the size of government.""",half-true,mostly-false,mostly-false,False
4,9,"""I'm the only (Republican) candidate that has actually reduced the size of government.""",half-true,mostly-false,mostly-false,False
