statement,avg_set_size,std_set_size,num_trials,coverage_rate,true_verdict
"""$53 million a week is coming across the border in drugs.""",4.7254901960784315,0.450707504820988,51,1.0,mostly-true
"""(Jeff) Atwater's busy helping his friends and wasting our tax dollars -- $48 million for a government building so lavish it's dubbed the 'Taj Mahal,' $100,000 for a golf musuem, and $110 million to build a private prison to help a big contributor.""",4.604651162790698,0.4947117912155151,43,1.0,false
"""... study after study has shown that the death penalty deters murders.""",4.46,0.5034574339058884,50,1.0,half-true
"""100 percent of the crime is committed, in estimate, by about 15 percent of the population.""",4.212765957446808,0.41368808943170005,47,1.0,pants-fire
"""134,000 (criminal) aliens have been released by the (Obama) administration in just the past two years.""",4.9772727272727275,0.15075567228888173,44,1.0,half-true
"""194,000 criminal aliens booked into Texas jails from 2011-2019 were charged with more than 299,000 criminal offenses.""",5.826923076923077,0.3820047143818447,52,1.0,mostly-true
"""25% of human trafficking victims are located in Texas.""",5.980392156862745,0.14002800840280094,51,1.0,pants-fire
"""3 American women are murdered every day by their husband or boyfriend.""",5.085106382978723,0.2820566728469693,47,1.0,mostly-true
"""48-Hour waiting periods limit crimes of passion and keep our communities safe.”",5.717391304347826,0.4552432062223381,46,1.0,half-true
"""50 percent of murders in Texas have been linked to illegal aliens.""",2.4107142857142856,0.496415724396973,56,1.0,false
"""50% of the DUIs on Interstate 35 are from illegals. Ninety percent of the 50% have absolutely no identification.""",2.883720930232558,0.32435300622428814,43,1.0,pants-fire
"""58,000 non-citizens voted in Texas, with 95,000 non-citizens registered to vote.""",2.96,0.19794866372215741,50,1.0,false
"""82-year-old who killed a Muslim in self-defense gets the death penalty.""",1.9821428571428572,0.13363062095621223,56,0.9821428571428571,pants-fire
"""90% of Americans want national background checks that close loopholes.""",4.66,0.4785181206984064,50,1.0,true
"""97% of murders occur with handguns.""",2.519230769230769,0.5045045954972344,52,1.0,mostly-false
"""A Trump fan was just charged with trying to murder Maxine Waters on same day Trump threatened her.""",1.9814814814814814,0.23718003199072699,54,1.0,false
"""A [bank] surveillance camera capturing a criminal’s face and other identifiable traits would certainly discourage robbery attempts and serve as a deterrent to robbers.""",3.0833333333333335,0.3340388014946089,60,1.0,false
"""A black male baby born today, if we do not change the system, stands a one-in-three chance (of) ending up in jail.""",4.931818181818182,0.39753468608220566,44,1.0,mostly-true
