statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
"Virginia was named ""best managed state, best state for business and best state to raise a child"" while I was governor.",true,mostly-true,"['mostly-true', 'true', 'half-true', 'mostly-false', 'false', 'pants-fire']",6,True
"""Since the president became the president, we have lost 3.3 million jobs in the private sector. But you know who's done OK and who's not complaining today? The public sector. We've gained 590,000 public sector jobs.""",half-true,mostly-true,"['mostly-true', 'true', 'half-true', 'mostly-false', 'false']",5,True
"Every 1 percent increase in the number of Ohioans with bachelor’s degrees ""means economic activity growing the next year and for each year thereafter (by) $2.5 billion dollars.""",mostly-true,mostly-true,"['mostly-true', 'false', 'true', 'mostly-false', 'half-true', 'pants-fire']",6,True
"The stock market “hit an all-time high under President Biden and not under President Trump.""",mostly-false,mostly-true,"['mostly-true', 'true', 'half-true', 'mostly-false', 'false']",5,True
Says Delta offers a discount to Planned Parenthood.,false,false,"['false', 'mostly-true', 'true', 'mostly-false', 'half-true', 'pants-fire']",6,True
More private-sector jobs were created in the second year of the Obama administration than in the eight years of the Bush administration.,half-true,mostly-true,"['mostly-true', 'true', 'half-true', 'false', 'mostly-false']",5,True
"""When we had a conservative Republican president we were losing 750,000 jobs a month.""",mostly-true,mostly-true,"['mostly-true', 'false', 'mostly-false', 'true', 'half-true', 'pants-fire']",6,True
"The poverty rate for families in which a husband and a wife work is 5 percent, but in families headed by one person … ""it's 30 percent today.""",half-true,mostly-true,"['mostly-true', 'true', 'false', 'mostly-false', 'half-true', 'pants-fire']",6,True
"""When Mitt Romney was governor, Massachusetts lost 40,000 manufacturing jobs, a rate twice the national average.""",half-true,mostly-true,"['mostly-true', 'true', 'half-true', 'mostly-false', 'false']",5,True
"""Nearly 60% of all student loan debt is held by the rich and upper-middle class,"" so forgiveness would give the wealthy a ""financial windfall"" but not really help low-income people.",half-true,mostly-true,"['mostly-true', 'mostly-false', 'false', 'half-true', 'true', 'pants-fire']",6,True
"""Because of my policies, Black Unemployment has just been reported to be at the LOWEST RATE EVER RECORDED!""",half-true,false,"['false', 'mostly-true', 'mostly-false', 'pants-fire', 'true', 'half-true']",6,True
"""Since 1961 … our private economy has produced 66 million private-sector jobs. So what's the jobs score? Republicans 24 million, Democrats 42 (million).""",true,mostly-true,"['mostly-true', 'true', 'half-true', 'mostly-false', 'false']",5,True
"""We have more people working in clean and green energy than in oil and gas in this country.""",true,mostly-true,"['mostly-true', 'true', 'mostly-false', 'false', 'half-true', 'pants-fire']",6,True
"“There is a direct connection between discriminatory policies within the USDA and the enormous land loss we have seen among Black farmers over the past century.""",true,true,"['true', 'mostly-true', 'half-true']",3,True
Says over 25 percent of the Texas budget funds services to non-U.S. citizens.,pants-fire,false,"['false', 'mostly-false', 'mostly-true', 'pants-fire', 'true', 'half-true']",6,True
''The leading Democratic candidate once said that the unfettered free market is the most destructive force in modern America.'',false,mostly-true,"['mostly-true', 'false', 'true', 'mostly-false', 'pants-fire', 'half-true']",6,True
"Vice President Joe Biden's meeting ""with the transparency and accountability board . . . was closed to the public.""",false,true,"['true', 'false', 'mostly-true', 'mostly-false', 'half-true', 'pants-fire']",6,True
"""For every one job created under the Obama administration, 75 people went on food stamps.""",false,false,"['false', 'pants-fire', 'mostly-false', 'mostly-true', 'half-true']",5,True
“The global cost of corruption is as much as 5% of the world's GDP.”,false,true,"['true', 'mostly-true', 'half-true', 'mostly-false']",4,False
