statement,avg_set_size,std_set_size,num_trials,coverage_rate,true_verdict
"""$53 million a week is coming across the border in drugs.""",6.0,0.0,50,1.0,mostly-true
"""(Jeff) Atwater's busy helping his friends and wasting our tax dollars -- $48 million for a government building so lavish it's dubbed the 'Taj Mahal,' $100,000 for a golf musuem, and $110 million to build a private prison to help a big contributor.""",5.9787234042553195,0.14586499149789459,47,1.0,false
"""... study after study has shown that the death penalty deters murders.""",5.041666666666667,0.20194093652345882,48,1.0,half-true
"""100 percent of the crime is committed, in estimate, by about 15 percent of the population.""",6.0,0.0,52,1.0,pants-fire
"""134,000 (criminal) aliens have been released by the (Obama) administration in just the past two years.""",6.0,0.0,51,1.0,half-true
"""194,000 criminal aliens booked into Texas jails from 2011-2019 were charged with more than 299,000 criminal offenses.""",5.0,0.0,52,1.0,mostly-true
"""25% of human trafficking victims are located in Texas.""",6.0,0.0,52,1.0,pants-fire
"""3 American women are murdered every day by their husband or boyfriend.""",4.829787234042553,0.3798826441307216,47,1.0,mostly-true
"""48-Hour waiting periods limit crimes of passion and keep our communities safe.”",5.0,0.0,46,1.0,half-true
"""50 percent of murders in Texas have been linked to illegal aliens.""",5.604166666666667,0.49420399497827033,48,1.0,false
"""50% of the DUIs on Interstate 35 are from illegals. Ninety percent of the 50% have absolutely no identification.""",5.0,0.0,43,1.0,pants-fire
"""58,000 non-citizens voted in Texas, with 95,000 non-citizens registered to vote.""",5.0,0.0,50,1.0,false
"""82-year-old who killed a Muslim in self-defense gets the death penalty.""",5.607142857142857,0.4928053803045811,56,1.0,pants-fire
"""90% of Americans want national background checks that close loopholes.""",5.553191489361702,0.5025375018797698,47,1.0,true
"""97% of murders occur with handguns.""",5.653846153846154,0.48038446141526125,52,1.0,mostly-false
"""A Trump fan was just charged with trying to murder Maxine Waters on same day Trump threatened her.""",6.0,0.0,54,1.0,false
"""A [bank] surveillance camera capturing a criminal’s face and other identifiable traits would certainly discourage robbery attempts and serve as a deterrent to robbers.""",5.0,0.0,54,1.0,false
"""A black male baby born today, if we do not change the system, stands a one-in-three chance (of) ending up in jail.""",5.0,0.0,46,1.0,mostly-true
"""A black person is four times as likely as a white person to be incarcerated for the exact same crime.""",5.0,0.0,47,1.0,mostly-false
"""A couple of hundred American cities are infested by members of the Mexican cartels.""",6.0,0.0,45,1.0,true
"""A man using bath salts reported that raccoons had set fire inside his home and stolen his cell phone.""",5.882352941176471,0.32539568672798436,51,1.0,true
"""A number of Democrats running for governor want to cut the prison population by 50%"" and ""that would require the release of thousands of violent felons.""",6.0,0.0,48,1.0,half-true
"""A sitting sheriff cannot be charged except by a warrant issued by a Superior Court judge.""",5.0,0.0,49,1.0,half-true
"""A third of the budget for the city of Ferguson (Missouri) was being reaped by civil fines.""",6.0,0.0,43,1.0,mostly-false
"""According to ATF data, 70 percent of firearms recovered and traced in drug cartel crimes in Mexico originated from the United States.""",5.517857142857143,0.5042031130613726,56,1.0,mostly-true
"""According to a recent study from the University of California Riverside, (sanctuary) cities with these policies have more violent crime on average than those that don’t.""",6.0,0.0,49,1.0,mostly-false
"""According to the FBI, Mexican drug cartels are working with 100,000 street gang members in Chicago alone.""",6.0,0.0,51,1.0,half-true
"""According to the state of Florida, you are almost twice as likely to be attacked by an alligator than by someone who happens to carry a conceal-and-carry permit.""",6.0,0.0,56,1.0,mostly-false
"""Across the board, violent crime in jurisdictions that recognize the Right to Carry is lower than in areas that prevent it.""",6.0,0.0,58,1.0,false
"""African Americans are three to four times more likely to be arrested for drug crimes, and nine times more likely to be imprisoned.""",4.0,0.0,45,1.0,mostly-true
"""African Americans are twice as likely to be arrested and almost four times as likely to experience the use of force during encounters with the police.""",4.0,0.0,54,1.0,mostly-true
"""African-Americans are more likely to be arrested by police and sentenced to longer prison terms for doing the same thing that whites do.""",4.0,0.0,53,1.0,true
"""Al-Qaida operatives, have said, 'Hey, we want you to use this loophole (for purchasing guns despite being on a watch list) to attack and kill Americans.'""",6.0,0.0,51,1.0,mostly-true
"""Almost half of all vehicles stolen in Texas each year had keys left inside.""",5.0,0.0,55,1.0,false
"""Already this calendar year, since January 1, we have had more than 20,000 people come across the border, apprehended, unauthorized.""",6.0,0.0,53,1.0,true
"""Americans are 25x more likely to be shot & killed than others in developed countries.""",5.9375,0.24462302739504085,48,1.0,mostly-true
