statement,avg_set_size,std_set_size,num_trials,coverage_rate,true_verdict
"""$500 billion of the extension of the Bush tax cuts for the wealthy goes to 120,000 families.""",5.023809523809524,0.15430334996209183,42,1.0,mostly-true
"""(Assembly Democrats) wanted to raise the gas tax by $2.4 billion. We said no to that....They’re down on the ground. They’re sweating. They’re twitching. It’s ugly, ‘cause I keep saying no.""",6.0,0.0,47,1.0,mostly-false
"""(Romney's) record was that he raised taxes by $730-million.""",6.0,0.0,42,1.0,half-true
"""(Ronald Reagan) raised taxes a billion dollars in his first year as governor of California.""",5.0181818181818185,0.13483997249264834,55,1.0,true
"""(Sen. Robert) Gordon cost us money, exempting the Newark sports arena from paying property taxes and sticking us with the bill.""",6.0,0.0,43,1.0,mostly-false
"""(Strickland) raised taxes last year to the tune of $840 million.""",5.32,0.47121207149916117,50,1.0,mostly-true
"""(The Tax Policy Center) found that Romney would raise taxes on the average middle class family by $2,000 to pay for $5 trillion in tax cuts for millionaires and billionaires.""",5.326923076923077,0.4736654667156709,52,1.0,half-true
"""...some of those (tax increases) were either court-ordered, or they were voted on by the people and approved by the people for (such) things as roads.""",4.923076923076923,0.2690691175985249,52,1.0,half-true
"""101 utilities cut rates, credit GOP tax cuts.""",6.0,0.0,46,1.0,mostly-true
"""2014 Federal Tax Refunds To Be Delayed Until October 2015.""",3.0232558139534884,0.15249857033260464,43,1.0,pants-fire
"""47 - New provisions ObamaCare charges the IRS with implementing, according to the Government Accountability Office.""",5.0,0.0,44,1.0,true
"""70 percent of the income tax that the state collects happens to come from Westchester, Nassau, Suffolk and New York City""",5.0508474576271185,0.22157187777172221,59,1.0,true
"""75 percent of the Obamacare tax falls on the middle class.""",6.0,0.0,52,1.0,false
"""80 percent of the (individual mandate) tax falls on those who make $50,000 a year or less.""",6.0,0.0,57,1.0,mostly-true
"""83% of Trump tax breaks go to the wealthiest 1%.""",6.0,0.0,50,1.0,half-true
"""98 percent of American families"" make ""under $250,000 a year.""",5.94,0.23989793748209523,50,1.0,true
"""98 percent of small businesses make less than $250,000"" and would not see a tax increase under Barack Obama's plan.",6.0,0.0,50,1.0,true
"""A cashier earning $20,000 per year pays the same (Virginia) income tax rate as a hedge fund manager earning $20 million per year.""",6.0,0.0,53,1.0,false
"""A construction worker who’s making $50 or $60 grand a year shouldn’t be paying higher tax rates than the guy who’s making $50 million a year. And that’s how it’s working right now.""",5.0,0.0,49,1.0,half-true
"""A far different picture from the prior eight years, which saw 115 increases in taxes and fees.""",5.23404255319149,0.42797632794384316,47,1.0,true
"""A grant for $5,000 [from the Governor’s Workforce Board] went to teach an employee at a company that makes ornamental business card holders how to use Facebook and Twitter.""",6.0,0.0,51,1.0,mostly-false
"""A tax on soda and juice drinks would disproportionately increase taxes on low-income families in Philadelphia.""",5.0,0.0,45,1.0,true
"""A trip to Mar-a-Lago costs taxpayers approximately $3.6 million, according to a Government Accountability Office report.""",5.954545454545454,0.21070705494148548,44,1.0,half-true
"""About 80 percent of (the manufacturing and agriculture) tax credit goes to claimants who are making $1 million or more.""",5.344827586206897,0.47946330148538413,58,1.0,true
"""About two-thirds of all consumption is services. . . It was just the opposite"" when the sales tax was enacted in the '30s.",5.0,0.0,52,1.0,mostly-true
"""According to the Tax Foundation, the top 10 percent of earners already pay almost 80 percent of all taxes.""",4.170212765957447,0.37988264413072154,47,1.0,mostly-false
"""According to the nonpartisan Congressional Budget Office, the IRS would need to hire over 16,000 people ... to audit the American people and impose the new taxes and mandates"" of the health care bill.",6.0,0.0,45,1.0,mostly-false
"""After how hard you work and how much you pay in taxes, New York City ends up getting the money. I'm Chris Jacobs. I think it's time we have someone in Albany that's making sure our region gets our fair share""",5.0,0.0,46,1.0,false
"""After the 2001 and 2003 Bush tax rate cuts ... there was more money coming into the treasury.""",5.0,0.0,47,1.0,mostly-false
"""Alabama is operating government on the lowest amount of tax revenue of any state in the nation.""",6.0,0.0,48,1.0,mostly-true
"""Almost half of every dollar that we spend on gas, it goes to New York State.""",6.0,0.0,52,1.0,false
"""America has more people employed as tax preparers (1.2 million) than as police and firefighters.""",5.232558139534884,0.42746257437545837,43,1.0,false
"""America is one of the highest-taxed nations in the world.""",6.0,0.0,56,1.0,mostly-false
"""America's wealthiest 25 percent pay 86 percent of total income taxes. Wealthiest 5 percent pay 60 percent of total income taxes.""",5.0,0.0,43,1.0,true
"""Americans now spend 100 days out of the year working for government before we even start working for ourselves.""",6.0,0.0,53,1.0,mostly-true
"""Americans received the biggest tax cut in history last year.""",6.0,0.0,52,1.0,false
"""Americans will pay more in taxes in 2011 than they will spend on groceries, clothing and shelter combined.""",6.0,0.0,56,1.0,half-true
