statement,true_verdict,predicted_verdict,prediction_set,set_size,is_covered
"""When we've got CEOs making more in 10 minutes than ordinary workers are making in a year ... then something is wrong.""",mostly-true,mostly-true,"['mostly-true', 'half-true', 'mostly-false', 'false', 'true']",5,True
"""Under Gov. Kasich, Ohio wages have increased by $10.3 billion.""",true,true,"['true', 'mostly-true', 'false', 'half-true']",4,True
"""By voting to approve [Question 1], we can . . . save 900 jobs"" at Twin River.",mostly-false,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'mostly-true']",5,True
"""Companies are moving back, creating job growth the likes of which our country has not seen in a very long time.""",half-true,half-true,"['half-true', 'mostly-true', 'false', 'mostly-false', 'pants-fire', 'true']",6,True
"""Only one out of 10 minimum wage workers today are teen age or a young person.""",false,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'mostly-true', 'true']",6,True
"""Thom Tillis cut almost $500 million from education.""",half-true,false,"['false', 'mostly-false', 'half-true', 'pants-fire', 'mostly-true', 'true']",6,True
"Donald Trump ""rooted for the housing crisis, because he knew he could make money off of it.""",mostly-true,false,"['false', 'half-true', 'mostly-false', 'mostly-true', 'true', 'pants-fire']",6,True
"""Under Gov. Rick Perry’s leadership [Texas] has created more jobs over the last decade than the rest of the states combined.""",mostly-false,false,"['false', 'mostly-false', 'pants-fire', 'true', 'half-true']",5,True
"""We’ve had the private sector more than double the investment that was made by the public sector"" at Quonset Business Park.",true,false,"['false', 'mostly-false', 'pants-fire', 'half-true', 'true']",5,True
"""There haven't been tax cuts for the rich"" in Rhode Island.",false,false,"['false', 'mostly-false', 'pants-fire', 'half-true', 'true']",5,True
Says North Carolina just landed an auto plant.,false,false,"['false', 'mostly-false', 'pants-fire']",3,True
"Says a study indicates up to $8.5 billion in lost GDP and up to 185,000 lost jobs if Texas lawmakers approve a measure limiting transgender bathroom choices.",mostly-false,false,"['false', 'mostly-false', 'half-true', 'mostly-true', 'pants-fire', 'true']",6,True
"""A Gallup report recently said that nearly 50 percent of small business owners aren't hiring because of what they call ‘regulatory uncertainty.’""",half-true,half-true,"['half-true', 'mostly-true', 'false', 'true']",4,True
"Vice President Kamala Harris “cast the tiebreaking votes that caused the worst inflation in American history, costing a typical American family $28,000.”",mostly-false,false,"['false', 'mostly-false', 'pants-fire', 'half-true', 'true']",5,True
"""Between the first and second quarters of 2018 — after the tax cuts were enacted — real wages fell by 1.8 percent.""",mostly-false,false,"['false', 'mostly-false', 'pants-fire', 'half-true', 'true']",5,True
"The U.S. has ""over $62 trillion in unfunded liabilities.""",mostly-false,false,"['false', 'mostly-false', 'pants-fire', 'true', 'half-true']",5,True
